"Deployment_ID","X","Y"
"PA_Forest_Rothrock_20_03",1522704.88814363,2112196.92603568
"PA_Forest_Rothrock_20_04",1523920.6812739,2111281.36485834
"PA_Forest_Rothrock_20_05",1524525.5280395,2111638.9256233
"PA_Forest_Rothrock_20_08",1519114.81677564,2116917.91247756
"PA_Forest_Rothrock_20_09",1520027.048922,2116872.87128078
"PA_Forest_Rothrock_20_10",1519343.0076711,2115533.82591893
"PA_Forest_Rothrock_20_11",1525681.04664403,2117793.6789461
"PA_Forest_Rothrock_20_12",1525703.28878306,2118300.1185249
"PA_Forest_Rothrock_20_14",1520010.6628712,2118197.76290687
"PA_Forest_Rothrock_20_15",1523833.95759076,2113955.13069894
"PC.Fall.16.1.USA.2020",-1302464.51131133,2078501.95548389
"PC.Fall.62.1.USA.2020",-1309349.6474802,2080001.62403065
"PC_15.Fall.USA.2020",-1306473.18046646,2083063.48229333
"PC_menlove.Fall.USA.2020",-1306261.93363283,2083868.46051857
"RB_01.USA.2020",-1317861.23097418,2083728.1831213
"RB_06.USA.2020",-1314750.81027731,2086809.40268841
"RB_09.USA.2020",-1313843.84275759,2085751.25812432
"RB_10.USA.2020",-1313024.23095925,2086080.69566589
"RB_13.USA.2020",-1311597.03134592,2086391.45608293
"RI_Forest_University_of_Rhode_Island_20_04",2005518.38004439,2314437.64198846
"RI_Forest_University_of_Rhode_Island_20_05",2005551.99087119,2313691.86703572
"RI_Forest_University_of_Rhode_Island_20_10",2005784.35515042,2314218.34652442
"RI_Forest_University_of_Rhode_Island_20_13",2006049.77271848,2314001.22363844
"RI_Forest_University_of_Rhode_Island_20_14",2006032.20233944,2314250.07070552
"RI_Forest_University_of_Rhode_Island_20_15",2006021.78623055,2314504.2745606
"SEWA_N06_SWDSS_SP20_OFF",-1948307.43687445,3015423.38940178
